"month","day","hour","week","alloc_1","alloc_2"
2,3,0,TRUE,0,0
2,3,1,TRUE,0,0
2,3,2,TRUE,0,0
2,3,3,TRUE,0,0
2,3,4,TRUE,0,0
2,3,5,TRUE,0,0
2,3,6,TRUE,0,0
2,3,7,TRUE,0,0
2,3,8,TRUE,0.0664403256592459,0.933559674340754
2,3,9,TRUE,0.0787685696102062,0.921231430389794
2,3,10,TRUE,0.259049799184121,0.740950200815879
2,3,11,TRUE,0.034647664590772,0.965352335409228
2,3,12,TRUE,0.261602902071244,0.738397097928756
2,3,13,TRUE,0.418322076558589,0.581677923441411
2,3,14,TRUE,0.0578413783997583,0.942158621600242
2,3,15,TRUE,0.0518391356033459,0.948160864396654
2,3,16,TRUE,0.169155447601378,0.830844552398622
2,3,17,TRUE,0.00103391160275953,0.99896608839724
2,3,18,TRUE,0,0
2,3,19,TRUE,0,0
2,3,20,TRUE,0,0
2,3,21,TRUE,0,0
2,3,22,TRUE,0,0
2,3,23,TRUE,0,0
2,4,0,TRUE,0,0
2,4,1,TRUE,0,0
2,4,2,TRUE,0,0
2,4,3,TRUE,0,0
2,4,4,TRUE,0,0
2,4,5,TRUE,0,0
2,4,6,TRUE,0,0
2,4,7,TRUE,0,0
2,4,8,TRUE,0.0664403256592459,0.933559674340754
2,4,9,TRUE,0.0787685696102062,0.921231430389794
2,4,10,TRUE,0.259049799184121,0.740950200815879
2,4,11,TRUE,0.034647664590772,0.965352335409228
2,4,12,TRUE,0.261602902071244,0.738397097928756
2,4,13,TRUE,0.418322076558589,0.581677923441411
2,4,14,TRUE,0.0578413783997583,0.942158621600242
2,4,15,TRUE,0.0518391356033459,0.948160864396654
2,4,16,TRUE,0.169155447601378,0.830844552398622
2,4,17,TRUE,0.00103391160275953,0.99896608839724
2,4,18,TRUE,0,0
2,4,19,TRUE,0,0
2,4,20,TRUE,0,0
2,4,21,TRUE,0,0
2,4,22,TRUE,0,0
2,4,23,TRUE,0,0
2,5,0,TRUE,0,0
2,5,1,TRUE,0,0
2,5,2,TRUE,0,0
2,5,3,TRUE,0,0
2,5,4,TRUE,0,0
2,5,5,TRUE,0,0
2,5,6,TRUE,0,0
2,5,7,TRUE,0,0
2,5,8,TRUE,0.0664403256592459,0.933559674340754
2,5,9,TRUE,0.0787685696102062,0.921231430389794
2,5,10,TRUE,0.259049799184121,0.740950200815879
2,5,11,TRUE,0.034647664590772,0.965352335409228
2,5,12,TRUE,0.261602902071244,0.738397097928756
